Impfungen;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Diphtherie-Tetanus-Keuchhusten-Hib-Kinderlähmung-Hepatitis B ;0;0;0;0;0;0;1186;1064;971;855;753;725;579;376;311;196;138;101;109;86;73;113
Diphtherie-Tetanus-Keuchhusten-Hib-Kinderlähmung;0;0;0;0;690;433;181;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diphtherie-Tetanus-Keuchhusten-Kinderlähmung;0;0;0;0;0;927;241;8;0;76;0;575;801;512;775;822;1548;3362;3947;1138;1409;2399
Diphtherie-Tetanus-Keuchhusten-Hib;200;2134;2793;3787;1269;343;63;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hib (Haemophilus influenzae b);3724;2263;1740;114;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0
Diphtherie-Tetanus-Kinderlähmung ;0;0;0;0;0;0;1708;5115;4498;6422;3706;3994;3410;2639;3232;1859;393;747;1471;2807;2716;1306
Diphtherie-Tetanus-Keuchhusten;4214;2768;2155;112;0;0;0;0;0;0;11;2756;1693;818;1509;2835;1681;1173;1838;338;23;928
Diphtherie-Tetanus;4876;4815;5626;5669;7826;4933;2277;1326;1150;1755;1555;1488;1175;1074;999;796;2012;960;428;370;403;291
Diphtherie;0;0;0;0;0;0;0;0;0;0;0;112;69;43;45;14;0;0;0;0;0;0
Tetanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kinderlähmung (Poliomyelitis);9002;11862;10639;10476;7421;7835;1688;2718;1636;2713;1320;1673;1386;1278;1253;557;443;573;1443;1010;577;1274
Hib-Hepatitis B ;0;0;0;0;0;583;162;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hepatitis A+B;0;0;0;0;0;0;0;0;0;0;0;1574;1758;1632;1418;1322;1023;741;565;557;732;1178
Hepatitis A;0;0;0;0;0;0;0;0;0;0;0;491;602;497;452;408;353;260;512;392;375;802
Hepatitis B;0;0;0;4054;6814;5917;5374;5283;5041;4579;3994;5716;4126;2959;3238;2781;1899;1384;1599;1937;1527;1287
Masern-Mumps-Röteln;2270;1813;1897;2667;3630;2960;2695;2481;2673;3843;3397;2524;1752;1380;558;352;565;619;486;828;1022;3435
Röteln;901;806;845;0;0;4;505;469;438;0;0;0;0;0;0;0;0;0;0;0;0;0
Masern-Mumps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mumps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tuberkulose;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rotaviren;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;7;8;14;22;17;12;63
FSME;18682;19850;20207;19763;20650;18297;19392;18282;16727;9588;12425;16340;16195;16530;11712;11107;15769;16433;15114;13346;12144;11328
Grippe;0;969;1045;1240;2114;3660;3949;4050;5500;5750;5572;5160;3948;4423;5078;3259;3236;2620;3084;2352;2469;2336
H1N1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2378;85;0;0;0;0;714;0
Pneumokokken;0;0;0;0;0;0;0;0;0;222;231;149;276;121;158;35;44;67;65;264;64;441
Meningokokken;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1427;2031;2098;1192;2320
HPV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2567;2677
