#;Gemeinde;Bezirk / Statutarstadt;Einwohner 2013;Anlagen;Leistung [kW];[Watt/EW]
1;Absdorf;Tulln;1.804;24; 116,26 ;64,45
2;Achau;Mödling;1.246;9; 54,31 ;43,59
3;Aderklaa;Gänserndorf;194;6; 62,09 ;320,05
4;Aggsbach;Krems-Land;676;8; 33,42 ;49,44
5;Albrechtsberg an der Großen Krems;Krems-Land;1.058;22; 152,20 ;143,86
6;Alland;Baden;2.490;42; 206,20 ;82,81
7;Allentsteig;Zwettl;1.964;18; 140,31 ;71,44
8;Allhartsberg;Amstetten;2.038;49; 370,98 ;182,03
9;Altenburg;Horn;819;26; 162,58 ;198,51
10;Altenmarkt an der Triesting;Baden;2.154;24; 165,58 ;76,87
11;Altlengbach;St. Pölten-Land;2.724;29; 167,68 ;61,56
12;Altlichtenwarth;Mistelbach;736;10; 40,60 ;55,16
13;Altmelon;Zwettl;861;15; 127,00 ;147,5
14;Amaliendorf-Aalfang;Gmünd;1.114;13; 53,36 ;47,9
15;Amstetten;Amstetten;22.880;271; 1.712,76 ;74,86
16;Angern an der March;Gänserndorf;3.298;34; 1.653,95 ;501,5
17;Arbesbach;Zwettl;1.693;58; 432,62 ;255,53
18;Ardagger;Amstetten;3.370;103; 835,99 ;248,07
19;Artstetten-Pöbring;Melk;1.154;28; 169,85 ;147,18
20;Aschbach-Markt;Amstetten;3.673;83; 540,78 ;147,23
21;Aspangberg-Sankt Peter;Neunkirchen;1.882;19; 167,52 ;89,01
22;Aspang-Markt;Neunkirchen;1.803;29; 202,64 ;112,39
23;Asparn an der Zaya;Mistelbach;1.773;18; 97,87 ;55,2
24;Asperhofen;St. Pölten-Land;2.134;45; 256,90 ;120,38
25;Atzenbrugg;Tulln;2.733;36; 206,88 ;75,7
26;Au am Leithaberge;Bruck;916;8; 38,60 ;42,14
27;Auersthal;Gänserndorf;1.851;32; 151,32 ;81,75
28;Bad Deutsch-Altenburg;Bruck;1.429;9; 51,72 ;36,19
29;Bad Erlach;Wr. Neustadt-Land;2.822;14; 78,79 ;27,92
30;Bad Fischau-Brunn;Wr. Neustadt-Land;3.054;39; 239,87 ;78,54
31;Bad Großpertholz;Gmünd;1.347;24; 239,17 ;177,56
32;Bad Pirawarth;Gänserndorf;1.676;16; 88,26 ;52,66
