NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;NON_SELF_EMPL_M;SELF_EMPL_M;TEMP_ABSENT_M;EMPL_TOTAL_M;NON_SELF_EMPL_W;SELF_EMPL_W;TEMP_ABSENT_W;EMPL_TOTAL_W;NON_SELF_EMPL_TOTAL;SELF_EMPL_TOTAL;TEMP_ABSENT_TOTAL;EMPL_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz ;60645;8532;324;69501;56179;4402;2517;63098;116824;12934;2841;132599;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz ;687;67;2;756;577;52;26;655;1264;119;28;1411;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach ;820;141;3;964;734;90;31;855;1554;231;34;1819;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn ;339;41;2;382;276;30;11;317;615;71;13;699;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding ;416;62;1;479;357;39;18;414;773;101;19;893;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark) ;380;53;1;434;321;41;20;382;701;94;21;816;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal ;300;51;1;352;217;36;9;262;517;87;10;614;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten ;369;67;2;438;315;46;20;381;684;113;22;819;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60344;Deutschlandsberg ;2508;435;9;2952;2251;299;109;2659;4759;734;118;5611;31.10.2016
AT2;AT22;AT225;603;Deutschlandsberg;60345;Eibiswald ;1449;249;6;1704;1138;238;53;1429;2587;487;59;3133;31.10.2016
